video_id,limb_explosiveness,max_opening_angle,inversion_ratio,beat_hit_rate,beat_avg_error_sec,beat_variance,peak_trough_control_ratio,kinetic_energy_cv,cog_total_distance,convex_hull_coverage,Score_CleanExecution,Score_HighDifficulty,Score_BeatPrecision,Score_MusicSync,Score_RhythmRichness,Score_BodyControl,Score_StageSpace,total_score
1,56.58,98.03,0.0,1.0,0.059,0.00178,4770.42,23.99,10715.35,0.1506,6.0,6.6,6.5,6.1,6.4,6.4,6.0,62.9
2,86.6,155.05,0.0017,0.958,0.069,0.00201,307.59,3.15,11508.57,0.0609,8.3,7.0,8.0,8.0,7.8,8.2,7.5,77.94
3,44.51,65.47,0.0,0.96,0.053,0.00134,858.64,1.92,5453.56,0.0119,6.0,5.8,6.2,6.0,6.0,6.5,6.0,60.35
4,77.8,100.97,0.0,0.975,0.059,0.00155,1445.59,1.79,9438.77,0.0551,7.8,7.1,7.8,7.4,7.7,7.8,7.3,75.37
5,44.52,57.68,0.0,0.951,0.051,0.00147,396.44,1.85,7468.26,0.0164,7.8,6.5,7.4,7.2,7.3,7.1,6.6,71.39
6,65.34,58.26,0.0,1.0,0.054,0.00139,1766.3,1.55,12150.91,0.0603,5.7,5.8,6.3,5.8,5.8,5.8,6.0,58.6
7,67.97,69.39,0.0,0.975,0.06,0.00176,1566.31,2.17,8998.31,0.0645,7.0,6.0,7.1,7.2,7.3,6.9,6.7,68.14
8,69.95,65.28,0.0,0.957,0.053,0.00132,293.68,3.0,10867.16,0.0359,6.6,5.9,6.5,6.2,6.8,6.4,6.6,63.93
9,93.53,168.66,0.0,0.87,0.06,0.00126,4965.93,18.19,13262.56,0.2451,8.2,6.9,7.4,7.8,7.7,8.2,7.0,75.9
10,56.61,72.33,0.0,0.92,0.053,0.00135,2597.62,1.76,8665.75,0.0349,7.8,6.0,8.0,7.8,7.9,7.9,7.3,74.07
11,80.52,88.1,0.0,0.938,0.056,0.00132,429.25,1.99,13207.79,0.0867,8.2,7.0,8.3,8.4,7.8,8.0,7.0,77.81
12,69.59,69.5,0.0,0.974,0.064,0.00117,1302.26,3.98,9705.39,0.0526,6.5,5.9,6.5,5.9,6.1,5.9,5.9,61.24
13,65.58,77.83,0.0,0.988,0.058,0.00128,1267.93,2.3,10804.27,0.038,7.5,6.5,6.5,6.5,6.0,6.4,6.0,65.9
14,53.6,69.44,0.0,0.841,0.066,0.0017,440.46,1.99,8900.54,0.0295,6.3,6.0,6.5,6.0,6.0,7.8,7.3,64.56
15,93.38,72.92,0.0,0.873,0.05,0.00133,399.62,1.91,11517.72,0.033,6.0,6.0,6.1,5.7,6.0,6.4,7.0,61.26
16,80.29,102.47,0.0,1.0,0.048,0.00121,1451.42,2.06,12670.9,0.086,8.1,6.6,7.8,7.7,6.9,7.7,7.0,73.92
17,55.57,66.96,0.0,1.0,0.069,0.00163,1451.7,1.8,8921.22,0.0344,7.0,6.0,6.5,6.3,6.2,6.9,6.7,65.05
18,62.52,63.76,0.0,1.0,0.057,0.00156,1135.95,2.21,8750.51,0.0362,8.4,6.7,7.8,7.7,6.8,7.8,6.9,74.65
19,64.22,60.16,0.0,0.977,0.052,0.00167,3240.39,1.52,11188.97,0.0344,6.9,6.5,6.6,6.8,6.3,6.9,7.0,67.06
20,81.87,98.53,0.0,0.893,0.061,0.00182,479.2,2.07,12258.77,0.0795,8.7,6.5,8.0,8.0,7.9,8.8,7.5,78.49
